"","addition","value"
"815","TOTadd9",19
"816","TOTadd10",20
"817","TOT_original",0
"818","TOT_x_max",0
"819","TOTadd1",1
"820","TOTadd2",2
"821","TOTadd3",3
"822","TOTadd4",4
"823","TOTadd5",5
"824","TOTadd6",6
"825","TOTadd7",7
"826","TOTadd8",8
"827","TOTadd9",9
"828","TOTadd10",10
"829","TOT_original",2
"830","TOT_x_max",10
"831","TOTadd1",11
"832","TOTadd2",12
"833","TOTadd3",13
"834","TOTadd4",14
"835","TOTadd5",15
"836","TOTadd6",16
"837","TOTadd7",17
"838","TOTadd8",18
"839","TOTadd9",19
"840","TOTadd10",20
"841","TOT_original",1
"842","TOT_x_max",5
"843","TOTadd1",6
"844","TOTadd2",7
"845","TOTadd3",8
"846","TOTadd4",9
"847","TOTadd5",10
"848","TOTadd6",11
"849","TOTadd7",12
"850","TOTadd8",13
"851","TOTadd9",14
"852","TOTadd10",15
"853","TOT_original",1
"854","TOT_x_max",5
"855","TOTadd1",6
"856","TOTadd2",7
"857","TOTadd3",8
"858","TOTadd4",9
"859","TOTadd5",10
"860","TOTadd6",11
"861","TOTadd7",12
"862","TOTadd8",13
"863","TOTadd9",14
"864","TOTadd10",15
"865","TOT_original",5
"866","TOT_x_max",25
"867","TOTadd1",26
"868","TOTadd2",27
"869","TOTadd3",28
"870","TOTadd4",29
"871","TOTadd5",30
"872","TOTadd6",31
"873","TOTadd7",32
"874","TOTadd8",33
"875","TOTadd9",34
"876","TOTadd10",35
"877","TOT_original",1
"878","TOT_x_max",5
"879","TOTadd1",6
"880","TOTadd2",7
"881","TOTadd3",8
"882","TOTadd4",9
"883","TOTadd5",10
"884","TOTadd6",11
"885","TOTadd7",12
"886","TOTadd8",13
"887","TOTadd9",14
"888","TOTadd10",15
"889","TOT_original",1
"890","TOT_x_max",5
"891","TOTadd1",6
"892","TOTadd2",7
"893","TOTadd3",8
"894","TOTadd4",9
"895","TOTadd5",10
"896","TOTadd6",11
"897","TOTadd7",12
"898","TOTadd8",13
"899","TOTadd9",14
"900","TOTadd10",15
