Grave_ID	SiteName	SiteID	Diet (Kolar et al. 2012)	elevation_m_asl	elevation_source	ageGroup	meanAge	graveDepth	underlier_depth_cm	gravePitVol_m3	BarrowPreserved	SkelPos	HeadOrient	MorphSex	SexGender	Typochronology	pitLabourHours	height	anthroNotes	GravegoodsList	ChippedStoneMaterial	RockMaterialMaterial	unworkedAnimal_spec	boneToothBeads_perf	boneToolSimple	BoneTuskAntler_complex	small vessel	S_Polish	S_Deco	vesselLarge	L_Polish	L_Deco	potsherdsUndetermined	spindleWhorl	copperAwlNeedle	copperKnifeRazor	copperJewellery	copperNeckRing	GoldHairRing	flintAxe	flintBladeScraperFlake	shellPerf	battleAxe	stoneAxe	unworkedStoneMineral	Literature
Hos_839	Hostice 4 (Hostice-Heroltice)	Hos_4	Mixed diet, containing abrasive particles	230	DEM	juvenis	16	80		3,2164	FALSE	right	SSW	male(Q)	female	IIIa/IIIb	7,140408	162	fossa solei, gracile-medium robusticity	jug and sherds (mug), amphora-shaped jug (decorated with plastic strips), animal bones: tibia (Bos primigenius f. taurus), costae (medium-sized animal), cranium (Sus scrofa f. domestica)			3				1		1	1		1														Kolar et al. 2011
Iv3_2_801	Ivanovice na Hane 3_2 (Padelky za cihelnou)	Iv3_2	Mixed, presence of slightly abrasive particles in diet	243	DEM	maturus II	50	75		3,766875	FALSE	left	NE	female	female	IIIa/IIIb	8,3624625	NA		Chipped stone blade (glacial), bone pointed instrument (undetermined), ceramic vessel (undetermined, lower part), cup-shaped vessel, barrel-shaped container (incomplete), jug (lost), ovoid vessel (fragments), amphora (incomplete)	Glacial flint				1		4			1			1								1					Kolar et al. 2011
Iv3_2_803	Ivanovice na Hane 3_2 (Padelky za cihelnou)	Iv3_2		243	DEM	adultus II	33	18		0,5301	FALSE	left	NE	female	female	IIIa	1,176822	NA		Chipped stone blade (bilaterally steep retouched double-pointed, unifacially shaped, glacial), hemispherical bowl (with handle), Drevohostice jug, vessel (medium-sized, torso), pot-shaped vessel (fragments)	Glacial flint						4		1												1					Kolar et al. 2011
Iv3_2_804	Ivanovice na Hane 3_2 (Padelky za cihelnou)	Iv3_2		243	DEM	adultus II	38	15		0,3645	FALSE	right	E	female(Q)	ambiguous	III	0,80919	NA		jug (medium-sized, lower part)							1		1																	Kolar et al. 2011
Iv3_2_805	Ivanovice na Hane 3_2 (Padelky za cihelnou)	Iv3_2		244	DEM	infans II	8	5		0,07	FALSE	left	N	subadult	female	CWC?	0,1554	NA		Copper spiral (with one end split), Small fragments of unreconstructable (probably smaller) vessels.													1				1									Kolar et al. 2011
Iv3_2_806	Ivanovice na Hane 3_2 (Padelky za cihelnou)	Iv3_2		243	DEM	infans I	3	7		63	FALSE	right	SW	subadult	male	CWC	0,13986	NA		Chipped stone scraper (bilaterally retouched blade, patinated silicite), ceramics: sherds, undetermined vessel), beaker (decorated with cord imprints)	Undetermined						1		1				1								1					Kolar et al. 2011
Iv3_2_809	Ivanovice na Hane 3_2 (Padelky za cihelnou)	Iv3_2	Mixed diet, high meat consumption, containing abrasive particles in diet	244	DEM	infans II	7	9		0,0855	FALSE	on back (legs right)	WSW	subadult	ambiguous	III	0,18981	NA		Copper: 4 small tubes, shell: 2 small rings made of mother-of-pearl (nacre) bead, Ceramic: sherds (lower part undetermined vessel, jug?)							1										4					2				Kolar et al. 2011
Iv3_2_811	Ivanovice na Hane 3_2 (Padelky za cihelnou)	Iv3_2	Soft mixed diet with low meat intake	242	DEM	infans II	12	8		0,1232	FALSE	right	SW	subadult	male	III	0,273504	NA		"Ceramic sherds (lower part of medium-sized vessel (amphora?), bowl (sherds, with ""jams?"" at the rim), medium-sized vessel (bottom sherds)"							3																			Kolar et al. 2011
Iv3_2_825	Ivanovice na Hane 3_2 (Padelky za cihelnou)	Iv3_2	High ratio of meat intake, containing abrasive particles in diet	243	DEM	adultus II	38	25		0,60125	FALSE	right	S	male	male	IIIa	1,334775	168		chipped stone blade (lost), polished stone axe-hammer (greenish white patinated serpentinite), egg-shaped pot (with notches on the edge), amphora-shaped jug (with plastic bars).	Undetermined	serpentinite (greenish-white patinated)					1			1		1									1		1			Kolar et al. 2011
Iv4_800	Ivanovice na Hane 4 (Za strediskem)*	Iv4	High ratio of meat intake, containing abrasive particles in diet	230	DEM	adultus II	38	44		1,341164	FALSE	left	NE	female	female	IIIa	2,97738408	154	very strong muscle attachments	"Copper: 2 parts probably from same spiral, 1 copper spiral, 1 copper spiral (with one split end), chipped stone blade (glacial flint), bone tool with tip,
(Ovis/Capra), ceramics: bowl (with handle), special ceramic shape (mug with one handle), jug, egg-shaped pot (with straw on the bulge), amphora, pottery sherds (with daub and small fraction of indeterminable organic material), 1 charcoal (undetermined), 2 charcoals (Quercus) all from container No. 8, backfill: sherd of ceramic bulge, 2 fragments of daub backfill"	Glacial flint				1		4	1	1	1			1				3				1				2	Kolar et al. 2011
Iv4_803	Ivanovice na Hane 4 (Za strediskem)	Iv4	High ratio of meat intake, presence of slightly abrasive particles in diet	231	DEM	maturus I	45	16		0,275968	FALSE	on back (legs left)	NE	female	female	CWC?	0,61264896	NA	severely decayed teeth	none																										Kolar et al. 2011
Iv4_807A	Ivanovice na Hane 4 (Za strediskem)*	Iv4	High ratio of meat intake, presence of slightly abrasive particles in diet	231	DEM	infans I	6	34		1,48087	FALSE	right	S	subadult	male	CWC?	3,2875314	NA		Ceramic bowl, backfill: ceramic sherd of bulge							1																			Kolar et al. 2011
Iv4_807B	Ivanovice na Hane 4 (Za strediskem)*	Iv4		231	DEM	adultus II	33	34		1,48087	FALSE	right	NNW	male	male	CWC?	3,2875314	173		2 pebbles (both fine-grained sandstone)		sandstone (fine-grained, x2)																							2	Kolar et al. 2011
Iv4_810	Ivanovice na Hane 4 (Za strediskem)*	Iv4	Mixed diet, containing abrasive particles in diet 	229	DEM	maturus I	45	112		6,169072	FALSE	right	S	male	male	IIIa	13,69533984	177	extremely robust individual	copper spiral ring, copper object (fragment), chipped stone scraper (with bilaterally retouched blade, glacial), polished stone: axe (granite amfibolit), axe (banded granite metabasite (amfibolite-eclogite?)), axe-hammer (greenish white patinated serpentinite), bone tools(?) (severely damaged, undetermined), ceramics: cup (decorated), Drevohostice jug (engraved decoration and traces of red painting under the edge (outside and inside) and on the ear (painting marked with hatching)), Drevohostice jug, egg-shaped pot, amphora(-like?) jug, pot-shaped vessel, amphora, animal bone fragments (Sus scrofa, f. domestica, Ovis/Capra), fragments of pottery and animal bones (Ovis/Capra), 3 mollusc shells (lost), in backfill: 2 pebbles (quartz and mylonitized granitoid)	Glacial flint	amphibolite (garnet?granite?), metabasite (banded garnet?, amphibolite-eclogite?), serpentinite (greenish-white patinated), quartz and mylonitized granitoid (2 pebbles)	2		1		4	2	2	3	1						2				1	3	1	2		Kolar et al. 2011
