X	Y	fid	resource	Reference	OreDeposit	metallurgy	date	mine	sitename	type	res_simple	auxiliary_storage_labeling_positionx	auxiliary_storage_labeling_positiony
4711535.49117994	2739794.45206623	"219"	copper mine	O'Brien 2015				copper mine	Eisenerz*	Mine	Copper		
4773968.90271614	2761972.81276323	"220"	copper mine	O'Brien 2015				copper mine	Prein*	Mine	Copper		
4967893.92425011	2903131.13467838	"221"	copper mine	"O'Brien 2015; Krause 2003: 41-42"	"chalcopyrite, tetraedite, malachite"	TRUE	"Chalcolithic (4th mill. BCE ""spätlengyel""), Early Bronze Age and Late Bronze Age (Lausitz)"	copper mine	Spania Dolina-Piesky	Mine	Copper		
5069475.31504992	2869278.73334411	"222"	copper mine	O'Brien 2015			Chalcolithic-Early Bronze Age? (stone hammers)	copper mine	Spanie Pole	Mine	Copper		
5282401.30481021	2434910.44333639	"223"	copper mine	"O'Brien 2015; Kienlin 2010 (date)"			from c. 5400 cal BCE (and small scale likely earlier)	copper mine	Rudna Glava	Mine	Copper		
5608234.81825718	2306451.0510473	"224"	copper mine	O'Brien 2015				copper mine	Ai Bunar	Mine	Copper		
5412049.03851449	1859759.60352602	"225"	copper mine	O'Brien 2015				copper mine	Othrys Mountains*	Mine	Copper		
5591686.67734076	1702333.24174053	"226"	copper mine	O'Brien 2015				copper mine	Kythnos*	Mine	Copper		
5607018.65064944	1664676.78369039	"227"	copper mine	O'Brien 2015				copper mine	Seriphos*	Mine	Copper		
5591682.11169274	1488865.18555414	"228"	copper mine	O'Brien 2015				copper mine	Troodos Mountains	Mine	Copper		
3005860.15274807	3325663.55962541	"229"	copper mine	O'Brien 2015				copper mine	Mount Gabriel	Mine	Copper		
3414737.38461695	3359643.32040021	"230"	copper mine	O'Brien 2015				copper mine	Cwmystwyth	Mine	Copper		
5085559.13939345	2340812.25994429	"231"	copper mine	O'Brien 2015				copper mine	Jarmovac	Mine	Copper		
7121502.75538765	2664493.93541725	"232"	Gold mine	Stollner et al. 2016			c. 3500-2500 cal BCE	TRUE	Sakdrisi	Mine	Gold		
4371369.73567465	2217914.65985513	"233"	copper mine	Artioli et al. 2017	TRUE		late 4th mill. BCE	copper mine	Campiglia Marittima	Mine	Copper		
4397209.37567974	2231112.24789256	"234"	copper mine	Artioli et al. 2017	copper mine		late 4th mill. BCE	copper mine	Colline Metallifere	Mine	Copper		
5268935.50701275	2442153.43694753	"235"	copper mine	Siklósi and Szilágyi 2019	TRUE		5th millennium BCE	copper mine	Majdanpek	Mine	Copper		
5356818.44838656	2825176.59547321	"236"	Gold (veins)	Cristea-Stan and Constantinescu 2016	primary (veins)				Cavnic-Roata	Veins	Gold	5301534.16147796	2808607.73297764
5369200.70644507	2598376.07477254	"237"	Gold (alluvial)	Cristea-Stan and Constantinescu 2016	alluvial				Fizesti	Alluvial	Gold		
5382372.87540455	2606826.14542579	"238"	Gold (alluvial)	Cristea-Stan and Constantinescu 2016	alluvial				Rahau	Alluvial	Gold		
5402255.39458866	2570540.54791478	"239"	Gold (veins)	Cristea-Stan and Constantinescu 2016	primary (veins)				Valea lui Stan	Veins	Gold		
5311056.45043179	2661384.21849532	"240"	Gold (veins)	Cristea-Stan and Constantinescu 2016	primary (veins)				Valea Morii	Veins	Gold		
5312858.62398906	2648318.4602051	"241"	Gold (veins)	Cristea-Stan and Constantinescu 2016	primary (veins)				Musariu	Veins	Gold		
5327114.52252472	2666436.92143288	"242"	Gold (veins)	Cristea-Stan and Constantinescu 2016	primary (veins)				Rosia Montana	Veins	Gold	5334404.06401152	2661500.3731903
4463351.63050692	2703882.65826105	"243"	Copper metallurgy	"Hansen 2013 ""Innovative Metals"": 147"		TRUE	4400-4200 BCE		Mariahilflbergl	Metallurgy	Copper		
6450105.78878677	3216563.7092061	"244"	copper mine	Brovender 2009	YES	YES	Bronze Age?	YES	"Bakhmut lowland (incl. Vyskrivske, Kyslyi Buhor, Klynove)"		copper mine		
6466136.79853407	3236277.34008141	"245"	copper mine	"Brovender 2009; Brovender 2021; Grigoriev 2015: 464"	YES	YES	c. 1700-1400 cal BCE (possibly already active in EBA and MBA 3rd mill. BCE)	YES	Chervone Ozero I-III	"mines, metallurgy, settlement, etc"	copper mine		
